Parish,LDHH,Cumulative Cases,DateTime,FID,x,y
Avoyelles,6,,"3/19/2020, 11:00 AM",252,-10241549.000268279,3642689.4146340676
Avoyelles,6,,"3/18/2020, 11:00 AM",423,-10241549.000268279,3642689.4146340676
Avoyelles,6,,"3/21/2020, 11:00 AM",498,-10241549.000268279,3642689.4146340676
Avoyelles,6,,"3/14/2020, 11:00 AM",516,-10241549.000268279,3642689.4146340676
Avoyelles,6,,"3/15/2020, 11:00 AM",613,-10241549.000268279,3642689.4146340676
Avoyelles,6,3,"3/24/2020, 11:00 AM",698,-10241549.000268279,3642689.4146340676
Avoyelles,6,1,"3/22/2020, 11:00 AM",754,-10241549.000268279,3642689.4146340676
Avoyelles,6,1,"3/23/2020, 11:00 AM",820,-10241549.000268279,3642689.4146340676
Avoyelles,6,12,"3/28/2020, 11:00 AM",834,-10241549.000268279,3642689.4146340676
Avoyelles,6,13,"3/29/2020, 11:00 AM",922,-10241549.000268279,3642689.4146340676
Avoyelles,6,,"3/16/2020, 11:00 AM",937,-10241549.000268279,3642689.4146340676
Avoyelles,6,40,"4/6/2020, 11:00 AM",1025,-10241549.000268279,3642689.4146340676
Avoyelles,6,45,"4/7/2020, 11:00 AM",1093,-10241549.000268279,3642689.4146340676
Avoyelles,6,14,"3/30/2020, 11:00 AM",1169,-10241549.000268279,3642689.4146340676
Avoyelles,6,48,"4/8/2020, 11:00 AM",1267,-10241549.000268279,3642689.4146340676
Avoyelles,6,19,"3/31/2020, 11:00 AM",1343,-10241549.000268279,3642689.4146340676
Avoyelles,6,31,"4/1/2020, 11:00 AM",1409,-10241549.000268279,3642689.4146340676
Avoyelles,6,56,"4/9/2020, 11:00 AM",1439,-10241549.000268279,3642689.4146340676
Avoyelles,6,56,"4/10/2020, 11:00 AM",1505,-10241549.000268279,3642689.4146340676
Avoyelles,6,61,"4/12/2020, 11:00 AM",1538,-10241549.000268279,3642689.4146340676
Avoyelles,6,37,"4/5/2020, 11:00 AM",1615,-10241549.000268279,3642689.4146340676
Avoyelles,6,61,"4/11/2020, 11:00 AM",1704,-10241549.000268279,3642689.4146340676
Avoyelles,6,64,"4/13/2020, 11:00 AM",1806,-10241549.000268279,3642689.4146340676
Avoyelles,6,34,"4/2/2020, 11:00 AM",1871,-10241549.000268279,3642689.4146340676
Avoyelles,6,37,"4/3/2020, 11:00 AM",1925,-10241549.000268279,3642689.4146340676
Avoyelles,6,36,"4/4/2020, 11:00 AM",1991,-10241549.000268279,3642689.4146340676
Avoyelles,6,65,"4/14/2020, 11:00 AM",2051,-10241549.000268279,3642689.4146340676
Avoyelles,6,68,"4/17/2020, 11:00 AM",2139,-10241549.000268279,3642689.4146340676
Avoyelles,6,68,"4/18/2020, 11:00 AM",2205,-10241549.000268279,3642689.4146340676
Avoyelles,6,64,"4/15/2020, 11:00 AM",2230,-10241549.000268279,3642689.4146340676
Avoyelles,6,66,"4/16/2020, 11:00 AM",2320,-10241549.000268279,3642689.4146340676
Avoyelles,6,69,"4/19/2020, 11:00 AM",2381,-10241549.000268279,3642689.4146340676
Beauregard,5,3,"3/25/2020, 11:00 AM",38,-10390928.624963773,3587216.1699105264
Beauregard,5,3,"3/26/2020, 11:00 AM",105,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/20/2020, 11:00 AM",112,-10390928.624963773,3587216.1699105264
Beauregard,5,4,"3/27/2020, 11:00 AM",175,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/19/2020, 11:00 AM",253,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/17/2020, 11:00 AM",321,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/18/2020, 11:00 AM",424,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/21/2020, 11:00 AM",499,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/14/2020, 11:00 AM",543,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/15/2020, 11:00 AM",614,-10390928.624963773,3587216.1699105264
Beauregard,5,2,"3/24/2020, 11:00 AM",699,-10390928.624963773,3587216.1699105264
Beauregard,5,1,"3/22/2020, 11:00 AM",755,-10390928.624963773,3587216.1699105264
Beauregard,5,1,"3/23/2020, 11:00 AM",821,-10390928.624963773,3587216.1699105264
Beauregard,5,4,"3/28/2020, 11:00 AM",836,-10390928.624963773,3587216.1699105264
Beauregard,5,4,"3/29/2020, 11:00 AM",923,-10390928.624963773,3587216.1699105264
Beauregard,5,,"3/16/2020, 11:00 AM",938,-10390928.624963773,3587216.1699105264
Beauregard,5,23,"4/6/2020, 11:00 AM",1026,-10390928.624963773,3587216.1699105264
Beauregard,5,23,"4/7/2020, 11:00 AM",1094,-10390928.624963773,3587216.1699105264
Beauregard,5,5,"3/30/2020, 11:00 AM",1170,-10390928.624963773,3587216.1699105264
Beauregard,5,23,"4/8/2020, 11:00 AM",1268,-10390928.624963773,3587216.1699105264
Beauregard,5,5,"3/31/2020, 11:00 AM",1344,-10390928.624963773,3587216.1699105264
Beauregard,5,8,"4/1/2020, 11:00 AM",1410,-10390928.624963773,3587216.1699105264
Beauregard,5,26,"4/9/2020, 11:00 AM",1440,-10390928.624963773,3587216.1699105264
Beauregard,5,27,"4/10/2020, 11:00 AM",1506,-10390928.624963773,3587216.1699105264
Beauregard,5,27,"4/12/2020, 11:00 AM",1539,-10390928.624963773,3587216.1699105264
Beauregard,5,19,"4/5/2020, 11:00 AM",1616,-10390928.624963773,3587216.1699105264
Beauregard,5,27,"4/11/2020, 11:00 AM",1705,-10390928.624963773,3587216.1699105264
Beauregard,5,28,"4/13/2020, 11:00 AM",1807,-10390928.624963773,3587216.1699105264
Beauregard,5,10,"4/2/2020, 11:00 AM",1872,-10390928.624963773,3587216.1699105264
Beauregard,5,13,"4/3/2020, 11:00 AM",1926,-10390928.624963773,3587216.1699105264
Beauregard,5,15,"4/4/2020, 11:00 AM",1992,-10390928.624963773,3587216.1699105264
Beauregard,5,28,"4/14/2020, 11:00 AM",2052,-10390928.624963773,3587216.1699105264
Beauregard,5,35,"4/17/2020, 11:00 AM",2140,-10390928.624963773,3587216.1699105264
