"Week","HighwayClass","crashCount","Pedestrian","Bicycle","NonMotorist","Motorcycle","Fatal","iceCrashes","icePresent","home","covid","holiday","5-MA","4-MA","2x4-MA","26-MA","dn_crashes","season_adjust","dn_multi","season_adjust_multi","stl_dn_crashes","stl_season_adjust"
2019 W27,"20",88,0,1,1,2,0,0,0,0,0,1,97.2,92,94.5,111.730769230769,105.697244822485,100.773909023669,87.1693871857287,98.4036585061246,104.38549987948,101.839761143125
2019 W28,"20",90,2,0,2,0,1,0,0,0,0,0,94.6,95.25,93.625,111.346153846154,100.792437130178,107.447947485207,89.1108192235052,105.137077005355,100.956996102847,107.048350735763
2019 W29,"20",98,1,1,2,0,1,0,0,0,0,0,92.8,94,94.625,112.461538461538,100.521283284024,115.353716715976,97.0334190326542,113.935731525888,98.844407255235,116.94102539938
2019 W30,"20",105,1,1,2,0,0,0,0,0,0,0,97,98.75,96.375,113.769230769231,102.965514053254,119.832562869822,103.981635533399,119.961375772444,101.837823351604,120.559291599115
2019 W31,"20",83,2,0,2,0,1,0,0,0,0,0,101.8,102.75,100.75,115.576923076923,109.232821745562,91.6133321005917,82.2500536944814,88.3782876965013,107.770129669555,92.2386675772678
2019 W32,"20",109,1,0,1,1,0,0,0,0,0,0,110.8,112.25,107.5,115.961538461538,111.115514053254,115.778716715976,108.022613484347,115.228231427148,112.633269640282,112.987209902644
2019 W33,"20",114,0,2,2,0,1,0,0,0,0,0,116.4,124.75,118.5,116.153846153846,120.786667899408,111.097947485207,113.058563834494,110.980840279827,120.412276920148,109.819884918882
2019 W34,"20",143,1,1,2,0,0,0,0,0,0,0,122.2,125.5,125.125,117.384615384615,130.069360207101,130.690255177515,141.897848507029,129.788935907901,125.965366196575,132.87847793856
2019 W35,"20",133,1,0,1,1,1,0,0,1,0,0,131,135.25,130.375,117.5,130.857821745562,119.257562869822,131.973194661538,120.254702139066,127.845455774566,120.610070656673
2019 W36,"20",112,3,1,4,0,0,0,0,0,0,1,127.6,123.75,129.5,118.076923076923,125.659744822485,103.330639792899,111.112321789803,103.849815225632,122.950875241008,104.116333486334
2019 W37,"20",153,2,1,3,0,0,0,0,1,0,0,126,124.25,124,120.115384615385,131.234744822485,139.178716715976,151.8267122752,137.759773149338,129.761334211535,137.917556811912
2019 W38,"20",97,2,0,2,0,1,0,0,0,0,0,125.8,129.25,126.75,120.384615384615,126.653975591716,87.2498705621302,96.2260608578545,90.4764624058129,123.672055793538,87.618517526012
2019 W39,"20",135,5,0,5,1,1,0,0,0,0,0,129.4,123.5,126.375,120.730769230769,142.955898668639,107.746024408284,134.053972938537,109.457150294044,140.931095392634,107.97116022302
2019 W40,"20",132,5,2,7,1,0,0,0,1,0,0,125,132,127.75,121.692307692308,129.340514053254,116.919101331361,130.9801419458,116.528589019755,128.843231527229,116.650524589726
2019 W41,"20",130,1,1,2,0,1,0,0,1,0,0,132.6,132,132,122,126.123206360947,116.67487056213,128.977442123921,115.342561964215,126.48769589952,116.597560718735
2019 W42,"20",131,0,2,2,0,0,0,0,0,0,0,137.4,138.75,135.375,122.730769230769,125.248206360947,117.472947485207,129.942279662254,118.169736579529,125.805926832114,117.870830287442
2019 W43,"20",135,1,1,2,0,0,1,1,1,0,0,135.2,136.5,137.625,122.423076923077,122.994360207101,123.101793639053,133.901008296811,122.093751333129,123.220473020685,124.047784600172
2019 W44,"20",159,3,0,3,1,0,0,0,0,0,0,135.8,137,136.75,123.461538461538,141.071283284024,128.467178254438,157.857987950476,126.236255012791,142.027242200568,128.832515921589
2019 W45,"20",121,2,0,2,2,0,0,0,0,0,0,139,140,138.5,123.423076923077,121.313590976331,109.676793639053,119.998780825052,110.124482136873,122.392578135925,110.058680487532
2019 W46,"20",133,2,2,4,0,1,0,0,0,0,0,131,124,132,123.384615384615,118.473206360947,123.834485946746,131.870324970668,123.482170513887,121.504542089286,122.538217035473
2019 W47,"20",147,2,0,2,1,0,0,0,1,0,0,122.4,122.75,123.375,122.115384615385,122.078975591716,133.546024408284,145.791309467687,131.29400907253,126.881144838626,130.753114787433
2019 W48,"20",95,1,0,1,0,0,0,0,1,0,1,129,128,125.375,120.884615384615,94.8135909763314,108.513332100592,94.009324290681,107.31685135758,97.0026637353714,108.223096391988
2019 W49,"20",116,2,1,3,0,0,0,0,0,0,0,127.4,122.5,125.25,121.769230769231,115.703975591716,108.497947485207,114.991162989857,109.158104568686,119.585601482311,106.23165914635
2019 W50,"20",154,3,0,3,2,1,0,0,0,0,0,118.2,124,123.25,121.307692307692,124.205898668639,137.861409023669,152.748732030191,135.221160698878,126.29376579532,137.223842948522
2019 W51,"20",125,2,0,2,0,0,0,0,0,0,0,121.8,123.25,123.625,120.538461538462,117.67512943787,114.997947485207,123.929903813601,115.220548993275,117.759925771224,116.458031087799
2019 W52,"20",101,2,0,2,0,0,0,0,0,0,1,118.2,109.25,116.25,118.038461538462,86.0328217455621,122.515255177515,99.8536429199495,123.288499426586,88.4112164422502,121.507088531955
2020 W01,"20",113,2,0,2,2,0,0,0,0,0,1,110.8,107.25,108.25,115.153846153846,84.455898668639,136.284485946746,111.702477210356,139.795604403469,83.5302056198929,138.088447469494
2020 W02,"20",98,1,0,1,1,0,0,0,0,0,0,105.2,106.25,106.75,112.961538461538,96.805898668639,109.069101331361,96.9960314146753,108.303111141899,95.3608520391919,110.958149165376
2020 W03,"20",117,1,2,3,0,0,0,0,0,0,0,107,105.5,105.875,110.115384615385,101.905898668639,123.026793639053,115.864286682617,122.580596034899,104.889150733548,120.130198586202
2020 W04,"20",97,1,1,2,1,0,0,0,0,0,1,106,108,106.75,108.038461538462,90.7366678994083,113.984485946746,95.9492964057365,113.183003524363,91.2055278922279,113.514169542704
2020 W05,"20",110,2,3,5,1,1,0,0,0,0,0,109,107,107.5,104.769230769231,110.25012943787,107.711409023669,109.003946114152,107.535509906709,104.312104440643,113.10794110947
2020 W06,"20",108,2,1,3,1,1,0,0,0,0,0,107.6,110.25,108.625,103.653846153846,103.311667899408,113.063332100592,106.959378758201,112.77732708,103.481994178671,111.638399486623
2020 W07,"20",113,0,1,1,1,0,0,0,0,0,0,108.4,108,109.125,101.461538461538,100.909744822485,120.446024408284,111.885624756114,120.748986762963,96.2369042243622,123.583837556114
2020 W08,"20",110,0,0,0,1,0,0,0,0,0,0,113.4,114.75,111.375,99.5,105.607821745562,112.219101331361,108.959475863078,112.196516071592,101.379941870819,115.179668656578
2020 W09,"20",101,2,0,2,2,1,0,0,0,0,1,120,121.75,118.25,98.9230769230769,103.052052514793,104.765255177515,100.021428466002,104.52837664595,102.597211130069,104.701268144248
2020 W10,"20",135,0,3,3,1,0,0,0,0,0,0,112.8,113.5,117.625,98.3076923076923,109.063590976331,132.301793639053,133.767573473055,131.087521548675,111.371544279067,129.665803742171
2020 W11,"20",141,1,0,1,2,0,0,0,0,1,0,104.8,105.75,109.625,95.7692307692308,113.003975591716,133.746024408284,139.754032961316,131.761014340822,116.412573698827,130.363643069332
2020 W12,"20",77,1,1,2,1,0,0,0,0,1,0,96,86.25,96,94.4230769230769,111.544360207101,70.5614090236686,76.3000261604628,73.5712888459706,113.341688565604,69.1733969494753
2020 W13,"20",70,1,2,3,1,2,0,0,0,1,0,83.6,69.25,77.75,94.6538461538462,104.848206360947,70.2479474852071,69.327464226056,70.6809231654604,105.271157087301,69.9827971746989
2020 W14,"20",57,0,1,1,0,0,0,0,0,1,0,66.8,64.25,66.75,93.8846153846154,108.646283284024,53.4114090236686,56.4674907265198,55.9441954042776,103.787600652546,58.2052223563746
2020 W15,"20",73,3,1,4,1,1,0,0,0,1,1,67.6,67,65.625,93.9230769230769,109.488590976331,68.6652551775148,72.324624241295,71.0183586269041,109.539044128494,68.1926476273469
2020 W16,"20",57,0,0,0,0,0,0,0,0,1,0,68.4,71.25,69.125,93.0769230769231,88.328975591716,73.6037167159763,56.3604418888041,67.1105544950129,95.4464888188769,66.0240716838849
2020 W17,"20",81,0,2,2,1,0,0,0,0,1,0,75.4,76,73.625,92.6538461538462,97.0808986686391,88.3037167159763,80.1703971977599,86.5977694338301,98.8204410766171,86.3889881730653
