CrashDate,Crashes,Pedestrian,Bicycle,NonMotorist,Motorcycle,Fatal
11/29/2021,75,1,0,1,1,0
11/30/2021,88,0,0,0,0,1
12/1/2021,86,0,0,0,1,0
12/2/2021,70,0,0,0,0,0
12/3/2021,89,1,0,1,0,0
12/4/2021,60,0,0,0,1,0
12/5/2021,38,1,0,1,1,2
12/6/2021,108,0,1,1,0,1
12/7/2021,90,1,0,1,0,0
12/8/2021,94,1,0,1,0,0
12/9/2021,88,0,0,0,0,0
12/10/2021,89,2,0,2,1,0
12/11/2021,60,0,0,0,0,0
12/12/2021,43,1,0,1,0,0
12/13/2021,58,0,1,1,0,0
12/14/2021,64,1,0,1,0,0
12/15/2021,78,1,0,1,0,0
12/16/2021,71,0,1,1,0,0
12/17/2021,112,1,0,1,2,1
12/18/2021,69,0,1,1,0,0
12/19/2021,50,0,0,0,0,0
12/20/2021,68,0,0,0,0,0
12/21/2021,64,0,0,0,0,0
12/22/2021,85,1,0,1,0,1
12/23/2021,62,1,0,1,0,0
12/24/2021,58,0,0,0,0,0
12/25/2021,25,1,0,1,2,0
12/26/2021,28,1,0,1,0,0
12/27/2021,37,0,1,1,0,0
12/28/2021,49,1,0,1,0,0
12/29/2021,54,0,0,0,0,0
12/30/2021,40,1,0,1,0,0
12/31/2021,39,1,0,1,1,0
1/1/2022,33,0,0,0,0,0
1/2/2022,32,1,0,1,0,2
1/3/2022,55,3,1,4,0,0
1/4/2022,50,0,0,0,1,0
1/5/2022,49,0,0,0,1,0
1/6/2022,54,0,0,0,0,0
1/7/2022,72,0,0,0,0,0
1/8/2022,40,0,0,0,0,0
1/9/2022,48,0,0,0,0,0
1/10/2022,53,1,0,1,0,1
1/11/2022,70,2,0,2,0,0
1/12/2022,58,0,0,0,0,0
1/13/2022,62,0,0,0,0,0
1/14/2022,65,1,0,1,0,0
1/15/2022,33,0,0,0,0,0
1/16/2022,39,0,0,0,0,0
1/17/2022,54,0,0,0,0,0
1/18/2022,74,1,0,1,0,0
1/19/2022,62,1,1,2,0,0
1/20/2022,53,1,0,1,0,0
1/21/2022,39,1,0,1,0,0
1/22/2022,51,0,0,0,0,0
1/23/2022,33,1,0,1,0,1
1/24/2022,68,0,2,2,0,1
1/25/2022,64,1,0,1,0,0
1/26/2022,70,1,0,1,0,0
1/27/2022,68,0,0,0,0,0
1/28/2022,76,0,0,0,0,0
1/29/2022,50,0,1,1,1,0
1/30/2022,41,2,0,2,0,1
1/31/2022,53,1,0,1,0,0
2/1/2022,95,1,0,1,0,0
2/2/2022,78,1,0,1,0,1
2/3/2022,75,1,0,1,0,0
2/4/2022,60,1,0,1,1,1
2/5/2022,46,0,0,0,0,0
2/6/2022,37,0,0,0,0,0
2/7/2022,45,1,1,2,0,0
2/8/2022,65,1,0,1,0,0
2/9/2022,67,0,0,0,0,0
2/10/2022,76,1,0,1,0,0
2/11/2022,70,0,0,0,2,0
2/12/2022,58,0,0,0,1,1
2/13/2022,50,0,0,0,0,0
2/14/2022,85,0,0,0,0,0
2/15/2022,54,0,0,0,0,0
2/16/2022,66,1,0,1,0,0
2/17/2022,80,0,0,0,0,0
2/18/2022,72,4,0,4,0,0
2/19/2022,52,1,0,1,1,0
2/20/2022,39,2,0,2,1,0
2/21/2022,57,0,0,0,0,0
2/22/2022,61,0,0,0,1,1
2/23/2022,66,2,1,3,1,1
2/24/2022,74,2,0,2,1,0
2/25/2022,64,1,0,1,0,0
2/26/2022,40,3,0,3,0,2
2/27/2022,40,0,0,0,0,0
2/28/2022,43,0,0,0,0,0
3/1/2022,35,0,0,0,0,0
3/2/2022,50,0,0,0,0,0
3/3/2022,69,1,1,2,1,0
3/4/2022,71,1,0,1,0,0
3/5/2022,60,0,0,0,0,1
3/6/2022,50,1,0,1,0,0
3/7/2022,60,1,1,2,0,0
3/8/2022,44,0,0,0,1,0
3/9/2022,66,1,0,1,0,0
3/10/2022,70,0,0,0,1,0
3/11/2022,85,2,0,2,0,1
3/12/2022,48,1,0,1,0,0
3/13/2022,41,1,0,1,0,0
3/14/2022,60,0,0,0,1,0
3/15/2022,81,0,0,0,2,0
3/16/2022,72,1,0,1,1,0
3/17/2022,81,0,0,0,0,0
3/18/2022,79,1,0,1,0,0
3/19/2022,77,0,0,0,0,0
3/20/2022,46,2,0,2,0,0
3/21/2022,64,1,0,1,0,0
3/22/2022,44,0,0,0,0,0
3/23/2022,85,0,0,0,0,0
3/24/2022,78,0,0,0,0,0
3/25/2022,88,2,0,2,1,0
3/26/2022,56,0,0,0,1,0
3/27/2022,49,0,0,0,0,1
3/28/2022,66,1,0,1,0,0
3/29/2022,72,1,0,1,0,0
3/30/2022,58,0,0,0,0,1
3/31/2022,88,0,0,0,1,0
4/1/2022,93,1,0,1,1,0
4/2/2022,54,1,0,1,1,1
4/3/2022,39,1,0,1,1,0
4/4/2022,70,1,0,1,0,0
4/5/2022,82,1,0,1,0,0
4/6/2022,68,1,0,1,1,0
4/7/2022,73,0,0,0,1,0
4/8/2022,64,0,0,0,0,0
4/9/2022,52,0,0,0,0,0
4/10/2022,39,0,0,0,0,0
4/11/2022,72,0,0,0,0,0
4/12/2022,51,0,0,0,0,0
4/13/2022,78,0,0,0,0,1
4/14/2022,81,0,1,1,1,2
4/15/2022,56,0,0,0,2,0
4/16/2022,45,0,1,1,0,0
4/17/2022,43,1,0,1,0,0
4/18/2022,46,0,0,0,0,0
4/19/2022,47,0,0,0,0,0
4/20/2022,44,0,0,0,0,1
4/21/2022,53,0,0,0,0,0
4/22/2022,70,0,0,0,0,1
4/23/2022,53,0,0,0,1,0
4/24/2022,51,0,0,0,0,0
4/25/2022,64,1,0,1,0,0
4/26/2022,55,0,0,0,0,0
4/27/2022,81,0,0,0,1,0
4/28/2022,73,1,0,1,0,1
4/29/2022,89,1,0,1,1,2
4/30/2022,66,1,0,1,2,3
5/1/2022,56,0,0,0,1,0
5/2/2022,71,1,1,2,0,0
5/3/2022,69,1,0,1,0,0
5/4/2022,73,5,0,5,1,0
5/5/2022,79,0,1,1,1,1
5/6/2022,75,0,1,1,0,1
5/7/2022,53,0,0,0,0,0
5/8/2022,44,1,0,1,1,0
5/9/2022,69,0,0,0,0,1
5/10/2022,78,0,0,0,1,0
5/11/2022,57,1,1,2,1,1
5/12/2022,74,1,1,2,0,0
5/13/2022,73,0,0,0,0,0
5/14/2022,46,0,0,0,1,0
5/15/2022,41,0,1,1,0,0
5/16/2022,56,2,0,2,0,0
5/17/2022,58,0,0,0,1,0
5/18/2022,65,1,0,1,2,0
5/19/2022,71,2,0,2,1,1
5/20/2022,72,0,1,1,1,0
5/21/2022,47,1,0,1,2,1
5/22/2022,38,0,0,0,0,0
5/23/2022,57,0,0,0,1,0
5/24/2022,74,0,1,1,1,0
5/25/2022,59,0,0,0,0,0
5/26/2022,54,1,0,1,1,0
5/27/2022,67,0,0,0,1,0
5/28/2022,48,0,0,0,1,0
5/29/2022,40,0,0,0,0,0
5/30/2022,38,1,0,1,0,0
5/31/2022,44,0,0,0,0,0
6/1/2022,63,0,0,0,1,0
6/2/2022,64,0,0,0,0,0
6/3/2022,61,0,0,0,0,0
6/4/2022,39,1,0,1,0,1
6/5/2022,30,1,0,1,0,0
6/6/2022,60,0,1,1,1,1
6/7/2022,54,1,0,1,0,1
6/8/2022,62,0,0,0,0,0
6/9/2022,46,0,0,0,0,0
6/10/2022,65,1,0,1,1,0
6/11/2022,55,0,0,0,1,1
6/12/2022,27,1,0,1,2,0
6/13/2022,58,0,0,0,0,0
6/14/2022,63,0,2,2,2,0
6/15/2022,62,1,0,1,2,1
6/16/2022,53,0,0,0,0,0
6/17/2022,61,0,0,0,0,0
6/18/2022,48,1,0,1,0,0
6/19/2022,30,0,0,0,0,2
6/20/2022,72,0,0,0,0,0
6/21/2022,51,0,0,0,0,0
6/22/2022,58,0,0,0,0,1
6/23/2022,55,0,0,0,0,0
6/24/2022,64,1,0,1,0,0
6/25/2022,52,0,0,0,0,0
6/26/2022,46,0,0,0,0,0
6/27/2022,59,0,0,0,0,0
6/28/2022,55,0,0,0,0,0
6/29/2022,52,2,0,2,0,0
6/30/2022,67,1,1,2,0,0
7/1/2022,56,0,0,0,0,0
7/2/2022,41,1,0,1,0,0
7/3/2022,32,2,0,2,0,0
7/4/2022,27,0,0,0,2,0
7/5/2022,46,0,0,0,0,0
7/6/2022,60,0,0,0,0,0
7/7/2022,54,0,0,0,1,1
7/8/2022,46,0,0,0,0,0
7/9/2022,39,0,0,0,0,0
7/10/2022,23,0,0,0,0,1
7/11/2022,42,1,0,1,0,0
7/12/2022,55,0,0,0,0,0
7/13/2022,48,0,0,0,0,1
7/14/2022,61,1,0,1,0,0
7/15/2022,63,1,1,2,2,0
7/16/2022,53,0,0,0,0,0
7/17/2022,35,1,1,2,1,0
7/18/2022,51,0,0,0,0,1
7/19/2022,44,1,0,1,0,0
7/20/2022,63,2,0,2,0,0
7/21/2022,57,0,0,0,0,0
7/22/2022,81,1,0,1,1,0
7/23/2022,43,0,0,0,0,0
7/24/2022,36,0,0,0,0,0
7/25/2022,58,0,1,1,0,1
7/26/2022,46,0,0,0,0,0
7/27/2022,61,0,1,1,0,0
7/28/2022,70,3,0,3,1,0
7/29/2022,53,1,1,2,0,0
7/30/2022,33,0,0,0,0,0
7/31/2022,41,1,1,2,0,1
8/1/2022,52,0,0,0,0,1
8/2/2022,53,3,0,3,0,1
8/3/2022,46,0,0,0,0,0
8/4/2022,55,0,1,1,0,0
8/5/2022,60,1,0,1,0,0
8/6/2022,40,1,0,1,1,0
8/7/2022,34,0,0,0,2,0
8/8/2022,63,0,0,0,0,0
8/9/2022,52,1,0,1,0,0
8/10/2022,60,0,0,0,0,0
8/11/2022,49,0,0,0,1,0
8/12/2022,62,0,0,0,0,1
8/13/2022,36,1,0,1,0,0
8/14/2022,29,0,0,0,1,0
8/15/2022,72,0,1,1,1,1
8/16/2022,78,2,0,2,0,1
